Date,Open,High,Low,Close,Volume,Adj Close
2012-01-03,59.970001,61.060001,59.869999,60.330002,12668800,52.619234999999996
2012-01-04,60.209998999999996,60.349998,59.470001,59.709998999999996,9593300,52.078475
2012-01-05,59.349998,59.619999,58.369999,59.419998,12768200,51.825539
2012-01-06,59.419998,59.450001,58.869999,59.0,8069400,51.45922
2012-01-09,59.029999,59.549999,58.919998,59.18,6679300,51.616215000000004
2012-01-10,59.43,59.709998999999996,58.98,59.040001000000004,6907300,51.494109
2012-01-11,59.060001,59.529999,59.040001000000004,59.400002,6365600,51.808098
2012-01-12,59.790001000000004,60.0,59.400002,59.5,7236400,51.895315999999994
2012-01-13,59.18,59.610001000000004,59.009997999999996,59.540001000000004,7729300,51.930203999999996
2012-01-17,59.869999,60.110001000000004,59.52,59.849998,8500000,52.200581
2012-01-18,59.790001000000004,60.029999,59.650002,60.009997999999996,5911400,52.340131
2012-01-19,59.93,60.73,59.75,60.610001000000004,9234600,52.863447
2012-01-20,60.75,61.25,60.669998,61.009997999999996,10378800,53.212320999999996
2012-01-23,60.810001,60.98,60.509997999999996,60.91,7134100,53.125104
2012-01-24,60.75,62.0,60.75,61.389998999999996,7362800,53.54375400000001
